,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
377,ragi oats ladoo (laddu),ladoo,"ragi flour, oats flour, dates (ripe), milk, honey, ghee, green cardamom powder, white sesame seeds, coconut powder, cashew nuts",veg,vitamin_e, hypertension, dash_diet gluten_free_diet high_protien_diet,360
378,lamb korma,korma,"onions, almond paste, ghee, cinnamon sticks, green cardamom, cloves, mace, bay leaves, garlic paste, ginger paste, lamb, salt, rose water (infused with 4-5 strands of saffron), yellow chilli powder, yogurt, yellow chilli powder, black pepper powder, coriander seed powder, cumin powder, red chilli powder, turmeric powder, clove powder, green cardamom powder, rose petal powder, nutmeg powder, black cardamom powder, fennel powder, cinnamon powder, mace powder, onions, cream/malai",non-veg,iron, goitre, high_fiber_diet low_fat_diet vegan_diet,235
379,ragi coconut ladoo (laddu),ladoo,"finger millet flour (ragi), jaggery, peanuts, coconut, salt",veg,chloride, obesity hypertension, dash_diet high_fiber_diet paleo_diet ketogenic_diet gluten_free_diet,355
380,red rice vermicelli kheer,kheer,"रेड राइस वर्मिसेली/ ब्रोकन सूजी/ सूजी वर्मिसेली, मक्खन, बादाम, पूरा दूध, इलाइची पाउडर, केसर थ्रेड  चीनी, चीनी",veg,carbohydrates, scurvy obesity cancer diabeties kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet vegan_diet high_protien_diet,540
381,chicken shami kebab,kebab,"चना दाल, तेल, जीरा, लौंग, काली मिर्च, दालचीनी, साबुत धनिया, अजवाइन, साबुत लाल मिर्च, चिली फलेक्स, बोनलेस चिकन, नमक, पानी, अदरक, हरी मिर्च, लहसुन, हरा धनिया, पुदीने के पत्ते, अंडे",non-veg,phosphorus, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,695
382,quick chicken curry,curry,"चिकन, प्याज का पेस्ट, टमाटर, लहसुन का पेस्ट, अदरक का पेस्ट, धनिया पाउडर, जीरा पाउडर, हल्दी पाउडर, लाल मिर्च पाउडर, गरम मसाला पाउडर, तेल, नमक, हरा धनिया",non-veg,iron, goitre rickets hypertension kidney_disease anemia pregnancy, high_fiber_diet ketogenic_diet alkaline_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,240
383,spicy creamy kadai chicken,chicken,"चिकन, अदरक-लहसुन पेस्ट, कालीमिर्च पाउडर, नींबू का रस, तेल, नमक, टमाटर, हरी मिर्च, अदरक-लहसुन का पेस्ट, लाल मिर्च पाउडर, बड़ी इलाइची, लौंग , पानी, प्याज़ , अदरक, हरी मिर्च, लाल मिर्च , हल्दी पाउडर, गरम मसाला, कसूरी मेथी, क्रीम",non-veg,iron, goitre rickets obesity kidney_disease anemia pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,545
384,chicken shaami kebab,kebab,"चना दाल, चिकन थाई , नमक, साबुत लाल मिर्च, जीरा , साबुत धनिया, लौंग, ​कालीमिर्च साबुत , दालचीनी स्टिक , अजवाइन, अंडे, हरा धनिया , पुदीने , हरी मिर्च, अदरक, लहसुन की कलियां, तेल",non-veg,phosphorus, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,505
385,chicken masala,chicken,"चिकन , अदरक  , लहसुन, प्याज, टमाटर , गरम मसाला, तेजपत्ता, नमक , हल्दी, धनिया पाउडर, लाल मिर्च पाउडर, तेल, हरा धनिया , क्रीम",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,505
386,almond &amp; white chocolate gujiya,gujiya,"all-purpose flour, clarified butter (ghee), water, white chocolate, dessicated coconut, green cardamom powder, almond, jaggery",veg,magnesium, heart_disease rickets obesity scurvy hypertension kidney_disease anemia, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet gluten_free_diet omni_diet high_protien_diet,435
387,chocolate appo,chocolate,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,360
388,red rice vermicelli kheer,kheer,"red rice vermicelli / broken sooji / semolina vermicelli, butter, almonds, whole milk, cardamom powder, saffron strands / thread, sugar",veg,carbohydrates, scurvy obesity cancer diabeties kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet vegan_diet high_protien_diet,515
389,almond and raw banana galawat,banana,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter",veg,selenium, heart_disease scurvy cancer diabeties hypertension kidney_disease anemia, high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,555
390,grilled almond barfi (sugar free),barfi,"khoya, sweetener (optional), almonds (crushed)",veg,calcium, goitre hypertension, ketogenic_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,350
391,chocolate kaju katli,kaju,"cashew nuts, sugar, water, milk chocolate or dark chocolate",veg,vitamin_d, heart_disease hypertension, high_fiber_diet ketogenic_diet,260
392,chocolate samosa,samosa,"refined flour, desi ghee, black cardamom seeds, chocolate block, almonds, cashew nuts, pistachio, sugar, garam masala powder, oil",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,600
393,apple rabdi,rabdi,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)",veg,calcium, obesity diabeties, low_fat_diet vegan_diet ketogenic_diet high_protien_diet,540
394,baked namak para,baked,"whole wheat flour (atta), refined flour (maida), baking powder, ghee, salt, carom seeds (ajwain)",veg,magnesium, goitre, low_sodium_diet high_fiber_diet low_fat_diet high_protien_diet,625
395,dates and nuts ladoo,ladoo,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)",veg,vitamin_e, heart_disease obesity cancer diabeties kidney_disease anemia, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_sodium_diet gluten_free_diet vegan_diet omni_diet,410
396,baked almond kofta,kofta,"potato (boiled), nutmeg, milk, almonds (crushed), green onions, refined flour, egg, salt, pepper, eggs, refined flour (for rolling), dried breadcrumbs (for rolling)",veg,calcium, goitre hypertension, high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,590
397,almond and amaranth ladoo,ladoo,"popped amaranth seeds, jaggery, almonds (slivered, unpeeled)",veg,calcium, hypertension, ketogenic_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,465
398,holi special malai kofta,kofta,"potatoes, paneer (cottage cheese), maida, coriander leaves (chopped), onion, ginger-garlic paste, tomatoes, malai or cream, raisins and cashew nuts, cashew nuts paste, haldi, red chilli powder, kitchen king masala, kasuri methi (dry fenugreek), salt, sugar",veg,phosphorus, kidney_disease, high_fiber_diet low_fat_diet vegan_diet,650
399,holi special bhang pakode,pakode,"besan, potato, fresh bhang leaves, spinach, bhang seed powder, ajwain, fresh green chilly , salt, tamarind paste, red chilly powder, mustard seeds, whole red chilli, soda",veg,iron, kidney_disease, high_fiber_diet low_fat_diet vegan_diet,440
400,assorted rice kheer sushi,kheer,"basmati rice, milk, sugar, pistachio, almonds, green cardamoms(powdered), saffron, rose water, rose petals (dried), dark chocolate",veg,magnesium, anemia obesity diabeties, dash_diet high_fiber_diet ketogenic_diet alkaline_diet vegan_diet high_protien_diet,510
401,chocolate prunes gujiyas,chocolate,"मैदा, घी, पानी, नमक, डार्क चॉकलेट, प्रून्स, मावा, चीनी, इलाइची पाउडर",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,420
402,almond &amp; white chocolate gujiya,gujiya,"मैदा, देसी घी, पानी, वाइट चॉकलेट, नारियल, हरी इलाइची पाउडर, बादाम, गुड़",veg,magnesium, heart_disease rickets obesity scurvy hypertension kidney_disease anemia, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet gluten_free_diet omni_diet high_protien_diet,620
403,red rice vermicelli kheer,kheer,"red rice vermicelli / broken sooji / semolina vermicelli, butter, almonds, whole milk, cardamom powder, saffron strands / thread, sugar",veg,carbohydrates, scurvy obesity cancer diabeties kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet vegan_diet high_protien_diet,525
404,apple rabdi,rabdi,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)",veg,calcium, obesity diabeties, low_fat_diet vegan_diet ketogenic_diet high_protien_diet,280
405,baked namak para,baked,"whole wheat flour (atta), refined flour (maida), baking powder, ghee, salt, carom seeds (ajwain)",veg,magnesium, goitre, low_sodium_diet high_fiber_diet low_fat_diet high_protien_diet,215
406,dates and nuts ladoo,ladoo,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)",veg,vitamin_e, heart_disease obesity cancer diabeties kidney_disease anemia, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_sodium_diet gluten_free_diet vegan_diet omni_diet,250
407,kuttu atta pizza,pizza,"kuttu atta, salt, sugar, yeast, mozzarella cheese fresh, tomato, basil, cottage cheese, green chillies, olive oil, salt, black pepper (crushed), oregano",veg,calcium, goitre, low_fat_diet vegan_diet ketogenic_diet high_protien_diet,200
408,arbi kofta with mint yogurt dip,dip,"arbi/colocasia roots, water chestnut flour (kuttu ka aata), green chili, ginger, carom seeds, rock salt, oil, mint, curd, cucumber, pomegranate",veg,calcium, obesity pregnancy hypertension diabeties, dash_diet ketogenic_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,300
409,puffed rice squares,rice,"puffed rice, nuts, honey, jaggery, butter, kewda to flavor, cardamom powder",veg,carbohydrates, anemia obesity diabeties, dash_diet vegan_diet ketogenic_diet high_protien_diet,285
410,ragi oats ladoo (laddu),ladoo,"ragi flour, oats flour, dates (ripe), milk, honey, ghee, green cardamom powder, white sesame seeds, coconut powder, cashew nuts",veg,vitamin_e, hypertension, dash_diet gluten_free_diet high_protien_diet,400
411,ragi coconut ladoo (laddu),ladoo,"finger millet flour (ragi), jaggery, peanuts, coconut, salt",veg,chloride, obesity hypertension, dash_diet high_fiber_diet paleo_diet ketogenic_diet gluten_free_diet,650
412,red velvet banana pudding,pudding,"one can of sweetened condensed milk, ice cold water, instant vanilla pudding mix, cream cheese (softened and cut into 8 pieces), heavy cream, one 9 x 13 inch layer of red velvet cakcake, ripe bananas, mini chocolate chips, sugar, cocoa, cake flour, baking soda, salt, butter (room temp cut into 1 inch pieces), eggs, milk, sour cream, cider vinegar, vanilla extract, red food coloring, all-purpose flour, milk, unsalted butter (room temperature), sugar, vanilla extract",veg,calcium, goitre scurvy obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet vegan_diet high_protien_diet,520
413,lemon poppy seed cake,cake,"plain flour, baking powder, salt, castor sugar, baking soda, eggs, butter, vanilla essence, lemon juice, poppy seed, lemon peel, to serve:, lemon syrup, whip cream, fresh berry",veg,potassium, scurvy, high_fiber_diet low_fat_diet ketogenic_diet high_protien_diet,675
414,meat lovers pizza,pizza,"millet flour, tapioca flour, soy milk, garlic powder, baking powder, salt, tomato sauce, mozzarella cheese, prosciutto, pepperoni, chicken salami, salami milano, rosemary, olive oil",non-veg,potassium, goitre obesity cancer kidney_disease anemia pregnancy, dash_diet high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet type_o_diet vegan_diet omni_diet high_protien_diet,395
415,almond and chicken momos (without shell),chicken,"chicken mince, garlic, carrots, spring onion, ginger, soya sauce, oyster sauce, sesame oil, pepper powder, egg, almonds (blanched), oil (for greasing)",non-veg,calcium, goitre rickets hypertension kidney_disease anemia pregnancy, high_fiber_diet ketogenic_diet hormone_diet low_sodium_diet low_fat_diet low_carb_diet type_a_diet gluten_free_diet vegan_diet high_protien_diet,660
416,berry parfait hazelnut white chocolate sable,chocolate,"for berry parfait:, egg yolk, caster sugar, berry puree, cream cheese, double cream, for hazelnut streusel:, ground hazelnut, flour, caster sugar, butter, for hazelnut white chocolate pressed sable:, hazelnut streusel, cocoa butter, puffed rice, clarified butter, melted white chocolate, for flexy berry:, raspberry puree, sugar, liquid glucose, pectin",veg,vitamin_a, heart_disease rickets obesity scurvy hypertension kidney_disease anemia, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet omni_diet high_protien_diet,240
417,baked wild berry cheesecake,berry,"butter, digestive biscuits, berries, cream cheese, castor sugar, vanilla extract, egg (lightly beaten), icing sugar",veg,vitamin_a, rickets goitre, low_sodium_diet high_fiber_diet low_fat_diet,420
418,christmas tree pizza,pizza,"pizza dough (2 boules), red pepper, red onion, basil pesto (purchased, homemade or vegan pesto), mozzarella cheese, kosher salt",veg,chloride, goitre, high_fiber_diet vegan_diet,625
419,clotted cottage cheese croquettes,cheese,"black pepper, black salt, bread crumb, corn flour, refined oil, jalapeno, jeera powder, maida, cottage cheese, parsley, salt, for thousand island dressing:, mayonnaise, tomato ketchup, minced garlic, celery, black pepper",veg,calcium, obesity eye_disease, dash_diet ketogenic_diet alkaline_diet low_fat_diet vegan_diet high_protien_diet,395
420,christmas chocolate fudge cookies,cookie,"unsalted butter, brown sugar, chocolate, chocolate chips, eggs, flour, cocoa powder, baking powder",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,480
421,gluten-free christmas cake,cake,"christmas dry fruits (pre-soaked), orange zest, lemon zest, jaggery syrup, almond flour, apple, butter (softened), eggs",veg,vitamin_a, kidney_disease goitre, high_protien_diet,365
422,chocolate nero cookies,cookie,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,290
423,spiced orange valencia cake,cake,"egg whites, egg white powder, sugar, almond powder, hazelnut powder, sugar, hazelnut (toasted)",veg,vitamin_a, rickets anemia scurvy, low_fat_diet,415
424,chocolate appo,chocolate,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,565
425,filo pizza,pizza,"filo pastry, himalayan salt, black pepper, salted butter, tomato sauce, broccoli, button mushroom, green zucchini, yellow zucchini, capsicum yellow, capsicum green, capsicum red, pizza spice mix, mozzarella cheese",veg,calcium, goitre, low_fat_diet vegan_diet ketogenic_diet high_protien_diet,215
426,almond and cranberry poha,poha,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut",veg,iron, hypertension, gluten_free_diet low_fat_diet vegan_diet high_fiber_diet,415
427,baked namakpara with roasted almond dip,dip,"almonds (crushed), tomato, garlic cloves, basil sprig, lemon, salt, pepper, for namak para:, refined flour, sugar, salt, olive oil, water",veg,calcium, kidney_disease goitre hypertension, high_fiber_diet ketogenic_diet alkaline_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,585
428,vegetable bruschetta,bruschetta,"baguette (grilled slices), black olive tapenade, artichoke hearts, lettuce arugula (trummed), tomato confit, fresh basil leaves, mint leaves, zucchini, goat cheese, parmesan cheese shavings, mozzarella buffalo cheese",veg,calcium, kidney_disease scurvy obesity heart_disease, high_fiber_diet ketogenic_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,625
429,jalapeno cheese fingers,cheese,"yellow cornmeal, sugar, baking soda, salt, buttermilk (well-shaken), egg, cheddar (extra sharp), scallion (white and pale green parts only), pickled jalapenos (drained), unsalted butter,",veg,calcium, obesity eye_disease, dash_diet ketogenic_diet alkaline_diet low_fat_diet vegan_diet high_protien_diet,500
430,spinach and feta crepes,spinach,"milk (whole fat or skimmed), flour, water, butter, honey, salt, vegetable oil, extra butter (for crisping the crepe), spinach, feta cheese (crumbled), greek yogurt (whisked), honey",veg,vitamin_c, kidney_disease scurvy goitre anemia, dash_diet high_fiber_diet type_a_diet ketogenic_diet,430
431,californian breakfast benedict,sauce,"brioche loaf, avocado paste, eggs, tomato, spinach, nutmeg powder, phyllo pastry sheet, assorted seasonal fruits, hollandaise sauce",veg,protien, rickets obesity hypertension, high_protien_diet,575
432,chocolate marquise,chocolate,"dark chocolate (melted), castor sugar, egg yolk, egg, cocoa powder, coffee, cream, berries, dark chocolate, fresh cream",veg,vitamin_a, heart_disease hypertension, high_fiber_diet ketogenic_diet,675
433,corn &amp; jalapeno poppers,corn,"fresh corn kernels, corn flour, whole egg, cheddar cheese, jalapeno poppers, smoked paprika, coriander (toasted & ground), green onions, fresh cilantro, lemon (zest and juice), cooking oil",veg,iron, goitre diabeties, high_fiber_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,410
434,banana phirni tartlets with fresh strawberries,banana,"basmati rice (soaked in water), milk, cardamom powder, milk, saffron, sugar, banana, fresh strawberries, plain flour, butter (chilled), castor sugar, egg yolk, chilled water",veg,vitamin_c, heart_disease rickets obesity cancer scurvy diabeties hypertension kidney_disease anemia pregnancy, dash_diet high_fiber_diet alkaline_diet vegan_diet high_protien_diet,495
435,cashew nut cookies,cookie,"काजू पेस्ट, घी, खांड, फलैक्स या चिया सीडस, बेकिंग सोडा, बेकिंग पाउडर, वनीला, ओट्स, मैदा आर्गेनिक",veg,protien, hypertension, dash_diet vegan_diet ketogenic_diet high_protien_diet,580
436,spiced almond banana jaggery cake,cake,"मक्खन, दालचीनी गुड़ पाउडर, जायफल (पीसा हुआ), बादाम, चीनी, अंडे, संतरे का छिलका , केला, मैदा, बेकिंग सोडा, बेकिंग पाउडर, नमक, छाछ, पीसी हुई दालचीनी",veg,potassium, hypertension, high_fiber_diet ketogenic_diet alkaline_diet low_fat_diet gluten_free_diet vegan_diet,515
437,mexican pizza,pizza,"आटा टॉर्टिया, रिफ्राइड बीन्स, बेल पेपर, स्प्रिंग अनियन, लेट्यूस, मॉजरेला चीज, आॅरेंज चेडार चीज, चिटपोले ड्रेसिंग, फॉर पिको दे गालो, टमाटर, प्याज, नींबू का रस, नमक, हरी मिर्च, हरा धनिया, ब्लैक बीन्स (उबले हुए), टमाटर, प्याज, बेल पेपर, वेजिटेबल तेल",veg,sodium, goitre, vegan_diet,260
438,apple and pear cake,cake,"कोर, छिला और स्लाइस्ड एप्पल, कोर, छिला और स्लाइस्ड नाशपात्ती, कैस्टर शुगर, वनीला एसेंस , सूरजमुखी तेल, अंडे , मैदा, दूध, बेकिंग पाउडर, दूध , दालचीनी स्टिक, अंडे का पीला भाग , कैस्टर शुगर",veg,potassium, obesity diabeties, high_fiber_diet low_fat_diet ketogenic_diet high_protien_diet,430
439,microwave chocolate cake,cake,"मैदा, कैस्टर या पाउडर शुगर, तेल, मक्खन या मारर्गीन, कोको पाउडर, पानी, वनीला एसेंस, बेकिंग सोडा, बेकिंग पाउडर, नमक, अंडा",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,580
440,white chocolate and lemon pastry,chocolate,"वाइट चॉकलेट, फ्रेश क्रीम, विप क्रीम, वनीला बीन, वनीला एक्ट्रैक्ट, ​क्रीम चीज़, जिलेटिन, नींबू, अंडे का पीला भाग, मक्खन, कैस्टर शुगर",veg,magnesium, heart_disease rickets obesity scurvy hypertension kidney_disease anemia, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet omni_diet high_protien_diet,295
441,andhra pan fried pomfret,curry,"white pomfret fish, sunflower refined ooil, red chilli powder, salt, turmeric powder, ginger-garlic paste, lemon (juiced), cumin powder, coriander powder, garam masala, green chilli, curry leaves, coriander",veg,iron, cancer, high_fiber_diet alkaline_diet hormone_diet low_fat_diet vegan_diet,345
442,ghee roast chicken dosa quesadilla,dosa,"dry red chillies, coriander seeds, cumin seeds, fenugreek seeds, black pepper, clove, garlic, turmeric powder, boneless chicken, curd, lemon (juiced), for cooking chicken:, tamarind pulp, ginger (1 inch), garlic cloves, onion, tomato, ghee, red chilli powder, salt, crushed jaggery, dosa batter (for 4 dosas), processed cheese, ghee or oil (to crisp the dosa), coriander leaves, curry leaves (deep fried), curd, salt, zeera powder, sugar, red chilli powder",non-veg,iron, rickets anemia kidney_disease goitre pregnancy, high_fiber_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,570
443,lamb barley pot,barley,"pot barley, onions, worcestershire sauce, chilli flakes, mustard seeds, thick mutton chunks, thick neck of lamb chops, water or stock (to cover), salt, black pepper (freshly ground)",non-veg,iron, goitre, high_fiber_diet low_fat_diet vegan_diet,360
444,garlic and pinenut soup with burnt butter essence,soup,"garlic cloves, almonds (whole), parsley, bayleaf, chicken broth, nutmeg, egg yolk, heavy cream, white bread slices, butter, salt, pepper, white wine",veg,vitamin_a, heart_disease obesity cancer diabeties hypertension kidney_disease, dash_diet ketogenic_diet alkaline_diet low_sodium_diet low_fat_diet type_a_diet,670
445,sweet chilli almonds,chilli,"almonds whole, egg white, curry leaves, salt, sugar (fine grain), red chilli powder",veg,vitamin_a, heart_disease scurvy hypertension kidney_disease goitre pregnancy, dash_diet high_fiber_diet paleo_diet alkaline_diet low_sodium_diet low_fat_diet Mediterranean_diet high_protien_diet,275
446,almond and chicken momos (without shell),chicken,"chicken mince, garlic, carrots, spring onion, ginger, soya sauce, oyster sauce, sesame oil, pepper powder, egg, almonds (blanched), oil (for greasing)",non-veg,calcium, goitre rickets hypertension kidney_disease anemia pregnancy, high_fiber_diet ketogenic_diet hormone_diet low_sodium_diet low_fat_diet low_carb_diet type_a_diet gluten_free_diet vegan_diet high_protien_diet,380
447,christmas tree pizza,pizza,"pizza dough (2 boules), red pepper, red onion, basil pesto (purchased, homemade or vegan pesto), mozzarella cheese, kosher salt",veg,chloride, goitre, high_fiber_diet vegan_diet,590
448,portugese fish stew,fish,"sole fillet (you can also do 2/3 types of fish), large shrimps (optional), potatoes (peeled), onions (cut into slices), garlic cloves, red capsicum (can use green also), parsley or coriander (choose the herb that most suits your taste buds), few dashes of hot sauce, paprika, olive oil, white wine, rock salt",non-veg,vitamin_a, goitre heart_disease rickets obesity cancer diabeties hypertension kidney_disease anemia pregnancy, dash_diet ketogenic_diet alkaline_diet low_fat_diet low_carb_diet vegan_diet high_protien_diet,240
449,cajun spiced turkey wrapped with bacon,wrapped,"turkey breast, cajun spice, spinach leaves (cooked and drained), garlic pods, salted butter, feta cheese, bacon strips, ground black pepper, for cajun spice:, onion powder, garlic powder, seasoning salt, paprika, ground black pepper, cayenne pepper, oregano, thyme, red pepper flakes (if you like it spicy))",non-veg,vitamin_c, cancer, high_protien_diet,230
450,belgian pork chop,chop,"pork chop, pink pepper corn, green pepper corn, aromatic sauce, salt, black pepper, salted butter, refined oil, red cabbage, bell pepper chop, apricot, onion, red wine, ancho chilli, cayenne pepper, microgreen",veg,iron, goitre pregnancy, high_fiber_diet paleo_diet low_fat_diet vegan_diet high_protien_diet,280
451,gajar halwa tart,halwa,"white butter, breakfast sugar, milk full fat, refined flour, winter carrots, ghee, sugar, khoya, cardamom powder, cashew nuts (crushed), almonds (crushed), full fat milk, full fat milk, grain sugar, green cardamom powder",veg,vitamin_d, kidney_disease, low_fat_diet,545
452,roast turkey with cranberry sauce,sauce,"whole turkey, butter, onion, celery, crumbled sage and thyme , salt and pepper, garlic minced, balsamic vinegar, sugar, cranberry",veg,chloride, goitre, high_protien_diet,370
453,gluten-free christmas cake,cake,"christmas dry fruits (pre-soaked), orange zest, lemon zest, jaggery syrup, almond flour, apple, butter (softened), eggs",veg,vitamin_a, kidney_disease goitre, high_protien_diet,615
454,chocolate nero cookies,cookie,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar",veg,magnesium, heart_disease hypertension, high_fiber_diet ketogenic_diet high_protien_diet,230
455,lamb and chargrilled bell pepper soup,soup,"lamb bones (preferably shank and shoulder), onions, celery, ginger, garlic, carrot, chargrilled red/yellow/green bell peppers (quartered), whole spices mix (black pepper, cinnamon, cardamom, clove, bay leaf), salt, water (warm), oil (sunflower or olive",non-veg,sodium, scurvy obesity kidney_disease goitre pregnancy, alkaline_diet,250
456,cream of almond soup,soup,"vegetable stock, skimmed milk, toasted almonds (powdered), butter, flour, salt and pepper, nutmeg, almond essence, toasted almond flakes",veg,calcium, obesity cancer hypertension, ketogenic_diet alkaline_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,510
457,broccoli and almond soup,soup,"vegetable stock, broccoli, ground almonds (toasted), skimmed milk, salt, freshly ground black pepper",veg,vitamin_c, scurvy obesity diabeties hypertension pregnancy, dash_diet ketogenic_diet alkaline_diet gluten_free_diet vegan_diet high_protien_diet,665
458,lemon honey glazed sous vide corn on the cob,corn,"young corn on the cob, honey, lemon juice, garlic cloves (smashed), celery stalk, chives, carrot, salt, paprika powder, parsley, plastic bag, food thermometer",non-veg,protien, scurvy goitre diabeties, dash_diet gluten_free_diet low_fat_diet high_protien_diet,460
459,sous-vide salmon tikka,tikka,"norwegian salmon, black garlic pickle, butter, butchery bag, smoked yogurt, home made prawn crisp, edible flower, salt",non-veg,calcium, goitre heart_disease rickets obesity diabeties hypertension anemia pregnancy, low_fat_diet vegan_diet ketogenic_diet high_protien_diet,295
460,roasted spring chicken with root veggies,chicken,"whole chicken, thyme, garlic, lemon, orange, salt, black pepper, butter (to rub), extra olive oil, carrot, turnip, beetroot, chipotle powder, parsley",non-veg,iron, goitre rickets obesity hypertension kidney_disease anemia pregnancy, high_fiber_diet ketogenic_diet alkaline_diet hormone_diet low_fat_diet low_carb_diet type_a_diet vegan_diet high_protien_diet,600
461,carrot ginger soup,soup,"गाजर, जैतून का तेल, नमक, वेजिटेबल स्टॉक, अदरक , थाइम , प्याज, लहसुन की कलियां, कालीमिर्च (ताजी पीसी हुई)",veg,sodium, obesity, high_fiber_diet alkaline_diet,605
462,mixed vegetable soup,soup,"मिक्स वेजिटेबल  (टमाटर, गाजर, मटर और फ्रेंच बीन्स), नमक, जीरा पाउडर, तेल, कढ़ीपत्ता",veg,sodium, heart_disease scurvy obesity diabeties kidney_disease, dash_diet high_fiber_diet alkaline_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,515
463,filter coffee,coffee,"कॉफी पाउडर, पानी, दूध, चीनी",veg,manganese, kidney_disease anemia pregnancy, high_fiber_diet ketogenic_diet hormone_diet low_fat_diet vegan_diet,610
464,japanese curry arancini with  barley salsa,barley,"japanese curry, sticky rice, cheese inside rice, barley salsa, wasabi mayo, red capsicum cube (cut), yellow capsicum cube (cut), green capsicum cube (cut), green chily, barley, butter, white pepper, light soya, salt",veg,calcium, goitre, high_fiber_diet ketogenic_diet low_fat_diet vegan_diet high_protien_diet,530
465,coconut lime quinoa salad,salad,"uncooked quinoa, water, red onion, cucumber (diced), purple cabbage, avocado (ripened and diced), orange, shelled edamame (defrosted), unsweetened toasted coconut flakes, almonds, few shakes of black pepper, for the dressing:, orange juice, lime (juiced), apple cider vinegar, olive oil",veg,fiber, scurvy obesity hypertension goitre pregnancy, dash_diet high_fiber_diet paleo_diet ketogenic_diet alkaline_diet low_sodium_diet low_fat_diet gluten_free_diet vegan_diet high_protien_diet,455
466,watermelon and strawberry smoothie,smoothie,"fresh strawberries, honey, low fat yogurt, watermelon, chia seeds",veg,magnesium, scurvy, high_fiber_diet high_protien_diet,490
467,almond and cranberry poha,poha,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut",veg,iron, hypertension, gluten_free_diet low_fat_diet vegan_diet high_fiber_diet,310
